"","seed","parameters.x","X10..x","X90..x","parameters.y","X10..y","X90..y","power"
"1",1,"b_groupasd:visit",0.3568906,0.5081623,"b_grouptd:visit",0.5113873,0.6724461,1
"2",2,"b_groupasd:visit",0.3018906,0.4292123,"b_grouptd:visit",0.5584868,0.6927574,1
"3",3,"b_groupasd:visit",0.3671152,0.4621907,"b_grouptd:visit",0.5270978,0.6251926,1
"4",4,"b_groupasd:visit",0.2810504,0.4055442,"b_grouptd:visit",0.5360183,0.6601213,1
"5",5,"b_groupasd:visit",0.283556,0.4145592,"b_grouptd:visit",0.5334644,0.6756311,1
"6",6,"b_groupasd:visit",0.3521096,0.5253357,"b_grouptd:visit",0.4462771,0.6208489,0
"7",7,"b_groupasd:visit",0.328794,0.4696834,"b_grouptd:visit",0.5582999,0.689763,1
"8",8,"b_groupasd:visit",0.3381114,0.4907905,"b_grouptd:visit",0.4846892,0.6426347,0
"9",9,"b_groupasd:visit",0.322131,0.4209434,"b_grouptd:visit",0.4949732,0.598276,1
"10",10,"b_groupasd:visit",0.3336064,0.4602954,"b_grouptd:visit",0.5482371,0.6707302,1
"11",11,"b_groupasd:visit",0.3209789,0.4737029,"b_grouptd:visit",0.5135814,0.6801742,1
"12",12,"b_groupasd:visit",0.3546653,0.4703501,"b_grouptd:visit",0.5307286,0.6458154,1
"13",13,"b_groupasd:visit",0.3256953,0.4357293,"b_grouptd:visit",0.5181242,0.6344902,1
"14",14,"b_groupasd:visit",0.2974248,0.4073448,"b_grouptd:visit",0.5554868,0.6760014,1
"15",15,"b_groupasd:visit",0.3021546,0.4518364,"b_grouptd:visit",0.5041482,0.6653769,1
"16",16,"b_groupasd:visit",0.2955122,0.4077362,"b_grouptd:visit",0.5783068,0.6895196,1
"17",17,"b_groupasd:visit",0.2863752,0.3994154,"b_grouptd:visit",0.5418795,0.659592,1
"18",18,"b_groupasd:visit",0.2444067,0.330302,"b_grouptd:visit",0.5699877,0.6691621,1
"19",19,"b_groupasd:visit",0.2942041,0.4085539,"b_grouptd:visit",0.5609407,0.678918,1
"20",20,"b_groupasd:visit",0.3293715,0.4495595,"b_grouptd:visit",0.5432639,0.6616864,1
"21",21,"b_groupasd:visit",0.3365168,0.4605761,"b_grouptd:visit",0.4874939,0.6217764,1
"22",22,"b_groupasd:visit",0.3537719,0.4982291,"b_grouptd:visit",0.4794672,0.6402024,0
"23",23,"b_groupasd:visit",0.3294044,0.4535448,"b_grouptd:visit",0.555039,0.6925806,1
"24",24,"b_groupasd:visit",0.2674851,0.3766957,"b_grouptd:visit",0.5069474,0.6155627,1
"25",25,"b_groupasd:visit",0.2856561,0.3877759,"b_grouptd:visit",0.5060027,0.6194422,1
"26",26,"b_groupasd:visit",0.2975216,0.411286,"b_grouptd:visit",0.5102127,0.6347474,1
"27",27,"b_groupasd:visit",0.3809807,0.5542528,"b_grouptd:visit",0.5483541,0.7280321,0
"28",28,"b_groupasd:visit",0.3799084,0.5421497,"b_grouptd:visit",0.4486694,0.622213,0
"29",29,"b_groupasd:visit",0.2310621,0.3277445,"b_grouptd:visit",0.5795701,0.6832819,1
"30",30,"b_groupasd:visit",0.4186653,0.5632671,"b_grouptd:visit",0.4904534,0.6349447,0
"31",31,"b_groupasd:visit",0.3376244,0.4505068,"b_grouptd:visit",0.5709832,0.6856466,1
"32",32,"b_groupasd:visit",0.2765646,0.3647315,"b_grouptd:visit",0.5277114,0.6233722,1
"33",33,"b_groupasd:visit",0.4148384,0.6133371,"b_grouptd:visit",0.4768074,0.6754522,0
"34",34,"b_groupasd:visit",0.3568821,0.4978134,"b_grouptd:visit",0.5261492,0.6687613,1
"35",35,"b_groupasd:visit",0.3591003,0.5459973,"b_grouptd:visit",0.5390796,0.7140563,0
"36",36,"b_groupasd:visit",0.3537895,0.4566415,"b_grouptd:visit",0.485674,0.5875356,1
"37",37,"b_groupasd:visit",0.2963297,0.422352,"b_grouptd:visit",0.5711124,0.6997286,1
"38",38,"b_groupasd:visit",0.3256107,0.4470675,"b_grouptd:visit",0.5241539,0.660946,1
"39",39,"b_groupasd:visit",0.3293798,0.4476204,"b_grouptd:visit",0.5334084,0.6561005,1
"40",40,"b_groupasd:visit",0.3126253,0.4210982,"b_grouptd:visit",0.5074585,0.6365444,1
"41",41,"b_groupasd:visit",0.4051598,0.5496702,"b_grouptd:visit",0.5339704,0.6832393,0
"42",42,"b_groupasd:visit",0.351326,0.4670748,"b_grouptd:visit",0.5438379,0.6563731,1
"43",43,"b_groupasd:visit",0.3143108,0.4305548,"b_grouptd:visit",0.6115272,0.7338057,1
"44",44,"b_groupasd:visit",0.2797722,0.3829646,"b_grouptd:visit",0.5563003,0.6582941,1
"45",45,"b_groupasd:visit",0.3818889,0.6388284,"b_grouptd:visit",0.4255389,0.6971076,0
"46",46,"b_groupasd:visit",0.327174,0.4852967,"b_grouptd:visit",0.5456958,0.696676,1
"47",47,"b_groupasd:visit",0.414787,0.5503603,"b_grouptd:visit",0.5658251,0.7040013,1
"48",48,"b_groupasd:visit",0.2956239,0.4241624,"b_grouptd:visit",0.5932767,0.7286687,1
"49",49,"b_groupasd:visit",0.3232003,0.440953,"b_grouptd:visit",0.4963902,0.6074448,1
"50",50,"b_groupasd:visit",0.2605744,0.3530113,"b_grouptd:visit",0.5413155,0.637962,1
"51",51,"b_groupasd:visit",0.2779021,0.4174483,"b_grouptd:visit",0.5149796,0.670834,1
"52",52,"b_groupasd:visit",0.303921,0.4010009,"b_grouptd:visit",0.5910243,0.6957842,1
"53",53,"b_groupasd:visit",0.3992166,0.5524406,"b_grouptd:visit",0.5470417,0.7145244,0
"54",54,"b_groupasd:visit",0.2727109,0.3753599,"b_grouptd:visit",0.5481762,0.6704323,1
"55",55,"b_groupasd:visit",0.3530287,0.5030347,"b_grouptd:visit",0.5219059,0.672248,1
"56",56,"b_groupasd:visit",0.345942,0.4769194,"b_grouptd:visit",0.515767,0.6649843,1
"57",57,"b_groupasd:visit",0.3681024,0.5109364,"b_grouptd:visit",0.4757117,0.612036,0
"58",58,"b_groupasd:visit",0.3234008,0.4486952,"b_grouptd:visit",0.5478227,0.6684317,1
"59",59,"b_groupasd:visit",0.3758922,0.5507272,"b_grouptd:visit",0.5186806,0.6914233,0
"60",60,"b_groupasd:visit",0.3296026,0.4580365,"b_grouptd:visit",0.493035,0.6173157,1
"61",61,"b_groupasd:visit",0.3259907,0.4710399,"b_grouptd:visit",0.5009511,0.6419244,1
"62",62,"b_groupasd:visit",0.3981834,0.6556114,"b_grouptd:visit",0.4754947,0.7176086,0
"63",63,"b_groupasd:visit",0.3030804,0.4128064,"b_grouptd:visit",0.5645522,0.6789495,1
"64",64,"b_groupasd:visit",0.3760316,0.5271053,"b_grouptd:visit",0.5393254,0.6901132,1
"65",65,"b_groupasd:visit",0.3359678,0.4741459,"b_grouptd:visit",0.5616041,0.7056032,1
"66",66,"b_groupasd:visit",0.3164258,0.4286935,"b_grouptd:visit",0.5530749,0.6699713,1
"67",67,"b_groupasd:visit",0.2864378,0.4006944,"b_grouptd:visit",0.5566238,0.6708145,1
"68",68,"b_groupasd:visit",0.398403,0.5589502,"b_grouptd:visit",0.5075536,0.6712681,0
"69",69,"b_groupasd:visit",0.2801258,0.3751668,"b_grouptd:visit",0.5677124,0.6718573,1
"70",70,"b_groupasd:visit",0.37568,0.5552657,"b_grouptd:visit",0.4215355,0.600157,0
"71",71,"b_groupasd:visit",0.4406802,0.6651177,"b_grouptd:visit",0.4399433,0.6560996,0
"72",72,"b_groupasd:visit",0.2829992,0.3912355,"b_grouptd:visit",0.5841571,0.697321,1
"73",73,"b_groupasd:visit",0.2768393,0.3933713,"b_grouptd:visit",0.5115238,0.6330991,1
"74",74,"b_groupasd:visit",0.3183918,0.458391,"b_grouptd:visit",0.5472931,0.6899739,1
"75",75,"b_groupasd:visit",0.3378205,0.4459545,"b_grouptd:visit",0.5306566,0.648992,1
"76",76,"b_groupasd:visit",0.2760753,0.4230329,"b_grouptd:visit",0.5141671,0.6643618,1
"77",77,"b_groupasd:visit",0.3177819,0.4683702,"b_grouptd:visit",0.5018341,0.6454046,1
"78",78,"b_groupasd:visit",0.3188807,0.4624132,"b_grouptd:visit",0.5516089,0.6884744,1
"79",79,"b_groupasd:visit",0.3476007,0.4780477,"b_grouptd:visit",0.5177995,0.6624055,1
"80",80,"b_groupasd:visit",0.4250329,0.681192,"b_grouptd:visit",0.4154679,0.6698711,0
"81",81,"b_groupasd:visit",0.357023,0.4639855,"b_grouptd:visit",0.5163283,0.6226354,1
"82",82,"b_groupasd:visit",0.3108279,0.4413414,"b_grouptd:visit",0.4767839,0.6086575,1
"83",83,"b_groupasd:visit",0.3416354,0.4969529,"b_grouptd:visit",0.5479395,0.7106317,1
"84",84,"b_groupasd:visit",0.3533884,0.4514941,"b_grouptd:visit",0.5851197,0.6859625,1
"85",85,"b_groupasd:visit",0.2652449,0.3738787,"b_grouptd:visit",0.4828978,0.5902294,1
"86",86,"b_groupasd:visit",0.3689583,0.4899757,"b_grouptd:visit",0.508517,0.6291281,1
"87",87,"b_groupasd:visit",0.3128315,0.4053682,"b_grouptd:visit",0.5220755,0.6211188,1
"88",88,"b_groupasd:visit",0.3437872,0.4908722,"b_grouptd:visit",0.4930831,0.6419801,1
"89",89,"b_groupasd:visit",0.2866977,0.3941048,"b_grouptd:visit",0.5391144,0.6436214,1
"90",90,"b_groupasd:visit",0.3052611,0.4182009,"b_grouptd:visit",0.4680681,0.5817349,1
"91",91,"b_groupasd:visit",0.35629,0.4908635,"b_grouptd:visit",0.5090697,0.6623649,1
"92",92,"b_groupasd:visit",0.3650828,0.5148646,"b_grouptd:visit",0.5393955,0.69259,1
"93",93,"b_groupasd:visit",0.3677367,0.4923263,"b_grouptd:visit",0.5147813,0.652318,1
"94",94,"b_groupasd:visit",0.3832269,0.5004393,"b_grouptd:visit",0.5004929,0.6237245,1
"95",95,"b_groupasd:visit",0.4777697,0.6104078,"b_grouptd:visit",0.5148277,0.6515323,0
"96",96,"b_groupasd:visit",0.4284801,0.5576002,"b_grouptd:visit",0.5271674,0.6682965,0
"97",97,"b_groupasd:visit",0.3150924,0.423541,"b_grouptd:visit",0.457271,0.5744339,1
"98",98,"b_groupasd:visit",0.3320939,0.4614391,"b_grouptd:visit",0.5749871,0.717652,1
"99",99,"b_groupasd:visit",0.3289354,0.4260989,"b_grouptd:visit",0.5069372,0.6068711,1
"100",100,"b_groupasd:visit",0.336835,0.5030442,"b_grouptd:visit",0.4884167,0.6569115,0
